Quarter,GDPGrowth,IndustryGrowth,SeasonIndex,5GPenetration
1,6.122993032419987,5.892043287120562,1,10.0
2,7.066644035801772,10.353355640155236,0,16.363636363636363
3,6.497697392051524,7.332164115498012,1,22.727272727272727
4,2.1828329164015647,8.429268642782603,0,29.09090909090909
5,7.2032898864483395,9.739699414305562,0,35.45454545454545
6,4.1248800247587525,8.551043032793046,1,41.81818181818181
7,4.382982995024495,11.488228402915759,1,48.18181818181818
8,2.629214999194885,9.795821017542501,1,54.54545454545455
9,6.424431236562914,10.841994847141692,1,60.90909090909091
10,3.093703270855748,12.368224753949129,1,67.27272727272727
11,5.383790552113018,10.577422659504375,0,73.63636363636363
12,7.044259915267586,10.86535434660759,1,80.0
